NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	160000	 | Accelerator Invokations Iters Block Size:	5000	 | Accelerator Iters Block Size:	1
Residual:	3.67389	 | Aver Time (ms):	0.00506204	 | Aver Iters:	2
Residual:	3.67389	 | Aver Time (ms):	0.00437245	 | Aver Iters:	2.0004
Residual:	3.67389	 | Aver Time (ms):	0.00453766	 | Aver Iters:	2.0004
Residual:	3.67389	 | Aver Time (ms):	0.00443055	 | Aver Iters:	2.0004
Residual:	3.67389	 | Aver Time (ms):	0.00460723	 | Aver Iters:	2.0004
Residual:	3.67389	 | Aver Time (ms):	0.00453797	 | Aver Iters:	2.0004
Residual:	2.30282	 | Aver Time (ms):	0.0187308	 | Aver Iters:	5.0004
Residual:	1.09757	 | Aver Time (ms):	0.0520578	 | Aver Iters:	12.001
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	160000	 | Accelerator Invokations Iters Block Size:	5000	 | Accelerator Iters Block Size:	1
Residual:	0.957164	 | Aver Time (ms):	0.0628034	 | Aver Iters:	14
Residual:	0.835808	 | Aver Time (ms):	0.0714472	 | Aver Iters:	16.0028
Residual:	0.728505	 | Aver Time (ms):	0.079924	 | Aver Iters:	18.0032
Residual:	0.589226	 | Aver Time (ms):	0.0953458	 | Aver Iters:	21.0036
Residual:	0.472467	 | Aver Time (ms):	0.108729	 | Aver Iters:	24.0042
Residual:	0.348493	 | Aver Time (ms):	0.127529	 | Aver Iters:	28.0048
Residual:	0.239560	 | Aver Time (ms):	0.150971	 | Aver Iters:	33.0056
Residual:	0.114672	 | Aver Time (ms):	0.199044	 | Aver Iters:	43.0066
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	160000	 | Accelerator Invokations Iters Block Size:	5000	 | Accelerator Iters Block Size:	1
Residual:	0.0989431	 | Aver Time (ms):	0.209300	 | Aver Iters:	45
Residual:	0.0853681	 | Aver Time (ms):	0.219784	 | Aver Iters:	47.009
Residual:	0.0736545	 | Aver Time (ms):	0.225580	 | Aver Iters:	49.0094
Residual:	0.0590281	 | Aver Time (ms):	0.242176	 | Aver Iters:	52.0098
Residual:	0.0473074	 | Aver Time (ms):	0.253453	 | Aver Iters:	55.0104
Residual:	0.0352183	 | Aver Time (ms):	0.275517	 | Aver Iters:	59.011
