NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	9.9772	 | Aver Time (ms):	28.7999	 | Aver Iters:	1190
Residual:	8.73725	 | Aver Time (ms):	30.268	 | Aver Iters:	1260.8
Residual:	7.45941	 | Aver Time (ms):	31.4254	 | Aver Iters:	1318.22
Residual:	6.20867	 | Aver Time (ms):	33.3556	 | Aver Iters:	1384.36
Residual:	4.93937	 | Aver Time (ms):	35.2354	 | Aver Iters:	1466.69
Residual:	3.68249	 | Aver Time (ms):	38.1195	 | Aver Iters:	1572.33
Residual:	2.42469	 | Aver Time (ms):	41.5436	 | Aver Iters:	1722.45
Residual:	1.16039	 | Aver Time (ms):	48.3264	 | Aver Iters:	1986.45
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	0.99911	 | Aver Time (ms):	47.5706	 | Aver Iters:	2005
Residual:	0.872475	 | Aver Time (ms):	49.1205	 | Aver Iters:	2093.1
Residual:	0.74698	 | Aver Time (ms):	50.8431	 | Aver Iters:	2149.86
Residual:	0.619978	 | Aver Time (ms):	52.2122	 | Aver Iters:	2217
Residual:	0.494625	 | Aver Time (ms):	54.4994	 | Aver Iters:	2298.34
Residual:	0.367722	 | Aver Time (ms):	56.7745	 | Aver Iters:	2404.97
Residual:	0.242122	 | Aver Time (ms):	61.2045	 | Aver Iters:	2555.1
Residual:	0.116201	 | Aver Time (ms):	67.9409	 | Aver Iters:	2818.1
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	0.0997681	 | Aver Time (ms):	67.1224	 | Aver Iters:	2821
Residual:	0.0873691	 | Aver Time (ms):	68.5815	 | Aver Iters:	2924.42
Residual:	0.0745912	 | Aver Time (ms):	71.0947	 | Aver Iters:	2982.49
Residual:	0.0620842	 | Aver Time (ms):	71.6033	 | Aver Iters:	3048.65
Residual:	0.0493918	 | Aver Time (ms):	83.721	 | Aver Iters:	3130.97
Residual:	0.0368235	 | Aver Time (ms):	87.7008	 | Aver Iters:	3236.62
Residual:	0.024246	 | Aver Time (ms):	93.9701	 | Aver Iters:	3386.73
Residual:	0.0116035	 | Aver Time (ms):	101.76	 | Aver Iters:	3650.73
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	0.0099907	 | Aver Time (ms):	87.7426	 | Aver Iters:	3636
Residual:	0.00872441	 | Aver Time (ms):	90.4802	 | Aver Iters:	3756.72
Residual:	0.00746951	 | Aver Time (ms):	92.7674	 | Aver Iters:	3814.13
Residual:	0.00619954	 | Aver Time (ms):	107.86	 | Aver Iters:	3881.28
Residual:	0.00494606	 | Aver Time (ms):	112.372	 | Aver Iters:	3962.63
Residual:	0.00368748	 | Aver Time (ms):	112.124	 | Aver Iters:	4068.25
Residual:	0.00242113	 | Aver Time (ms):	115.975	 | Aver Iters:	4219.37
Residual:	0.00116196	 | Aver Time (ms):	120.953	 | Aver Iters:	4482.39
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV ACCELERATOR, TARGET SOLVER: SOLVER GAUSS SEIDEL
Matrix Size:	1172889	 | Accelerator Invokations Iters Block Size:	50	 | Accelerator Iters Block Size:	1
Residual:	0.000997641	 | Aver Time (ms):	107.179	 | Aver Iters:	4452
Residual:	0.000873656	 | Aver Time (ms):	107.26	 | Aver Iters:	4588.04
