NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	100	 | Solver Iters Block Size:	64
Residual:	7.96811	 | Aver Time (ms):	4.41838	 | Aver Iters:	384
Residual:	7.96811	 | Aver Time (ms):	4.23889	 | Aver Iters:	387.84
Residual:	3.74644	 | Aver Time (ms):	5.05949	 | Aver Iters:	451.878
Residual:	3.74644	 | Aver Time (ms):	4.94059	 | Aver Iters:	452.519
Residual:	3.74644	 | Aver Time (ms):	5.05136	 | Aver Iters:	452.525
Residual:	1.89501	 | Aver Time (ms):	5.64663	 | Aver Iters:	516.525
Residual:	1.89501	 | Aver Time (ms):	5.77042	 | Aver Iters:	517.165
Residual:	0.900863	 | Aver Time (ms):	6.34766	 | Aver Iters:	581.172
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	100	 | Solver Iters Block Size:	64
Residual:	0.900863	 | Aver Time (ms):	6.6262	 | Aver Iters:	576
Residual:	0.455394	 | Aver Time (ms):	7.0316	 | Aver Iters:	645.76
Residual:	0.455394	 | Aver Time (ms):	7.21747	 | Aver Iters:	646.458
Residual:	0.455394	 | Aver Time (ms):	7.03251	 | Aver Iters:	646.465
Residual:	0.455394	 | Aver Time (ms):	7.21253	 | Aver Iters:	646.465
Residual:	0.217999	 | Aver Time (ms):	7.74377	 | Aver Iters:	710.465
Residual:	0.217999	 | Aver Time (ms):	7.92692	 | Aver Iters:	711.105
Residual:	0.110048	 | Aver Time (ms):	8.4372	 | Aver Iters:	775.111
NEW ENTRY OF BENCHMARK DATA OF CHEBYSHEV FIXED POINT ITERATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	100	 | Solver Iters Block Size:	64
Residual:	0.0529296	 | Aver Time (ms):	9.77494	 | Aver Iters:	832
Residual:	0.0529296	 | Aver Time (ms):	9.41502	 | Aver Iters:	840.32
Residual:	0.0529296	 | Aver Time (ms):	9.67164	 | Aver Iters:	840.403
Residual:	0.0529296	 | Aver Time (ms):	9.44956	 | Aver Iters:	840.404
Residual:	0.0267383	 | Aver Time (ms):	10.4423	 | Aver Iters:	904.404
Residual:	0.0267383	 | Aver Time (ms):	10.1995	 | Aver Iters:	905.044
Residual:	0.0129367	 | Aver Time (ms):	11.2141	 | Aver Iters:	969.05
