NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	1000000	 | Solver Iters Block Size:	1
Residual:	10	 | Aver Time (ms):	8.24786e-05	 | Aver Iters:	0
Residual:	2.88194	 | Aver Time (ms):	0.000235683	 | Aver Iters:	1
Residual:	2.88194	 | Aver Time (ms):	0.000240387	 | Aver Iters:	1
Residual:	2.88194	 | Aver Time (ms):	0.000237606	 | Aver Iters:	1
Residual:	2.88194	 | Aver Time (ms):	0.000236489	 | Aver Iters:	1
Residual:	2.88194	 | Aver Time (ms):	0.000236232	 | Aver Iters:	1
Residual:	0.694651	 | Aver Time (ms):	0.000422707	 | Aver Iters:	2
Residual:	0.694651	 | Aver Time (ms):	0.000423188	 | Aver Iters:	2
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	1000000	 | Solver Iters Block Size:	1
Residual:	0.694651	 | Aver Time (ms):	0.000440497	 | Aver Iters:	2
Residual:	0.694651	 | Aver Time (ms):	0.000425491	 | Aver Iters:	2
Residual:	0.694651	 | Aver Time (ms):	0.000440166	 | Aver Iters:	2
Residual:	0.134128	 | Aver Time (ms):	0.000592286	 | Aver Iters:	3
Residual:	0.134128	 | Aver Time (ms):	0.000612577	 | Aver Iters:	3
Residual:	0.134128	 | Aver Time (ms):	0.00059345	 | Aver Iters:	3
Residual:	0.134128	 | Aver Time (ms):	0.000621025	 | Aver Iters:	3
Residual:	0.0182508	 | Aver Time (ms):	0.000752071	 | Aver Iters:	4
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	1000000	 | Solver Iters Block Size:	1
Residual:	0.0182508	 | Aver Time (ms):	0.000757168	 | Aver Iters:	4
Residual:	0.0182508	 | Aver Time (ms):	0.000757227	 | Aver Iters:	4
Residual:	0.0182508	 | Aver Time (ms):	0.000756027	 | Aver Iters:	4
Residual:	0.0182508	 | Aver Time (ms):	0.000758379	 | Aver Iters:	4
Residual:	0.0182508	 | Aver Time (ms):	0.000758892	 | Aver Iters:	4
Residual:	0.0182508	 | Aver Time (ms):	0.000767976	 | Aver Iters:	4
Residual:	0.0182508	 | Aver Time (ms):	0.000757533	 | Aver Iters:	4
Residual:	0.00334958	 | Aver Time (ms):	0.000918244	 | Aver Iters:	5
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	500000	 | Solver Iters Block Size:	1
Residual:	0.00334958	 | Aver Time (ms):	0.000906421	 | Aver Iters:	5
Residual:	0.00334958	 | Aver Time (ms):	0.000898359	 | Aver Iters:	5.00001
Residual:	0.00334958	 | Aver Time (ms):	0.000903354	 | Aver Iters:	5.00001
Residual:	0.00334958	 | Aver Time (ms):	0.000900751	 | Aver Iters:	5.00001
Residual:	0.00334958	 | Aver Time (ms):	0.000904859	 | Aver Iters:	5.00001
Residual:	0.00334958	 | Aver Time (ms):	0.000901687	 | Aver Iters:	5.00001
Residual:	0.00062984	 | Aver Time (ms):	0.00105891	 | Aver Iters:	6.00001
Residual:	0.00062984	 | Aver Time (ms):	0.00105887	 | Aver Iters:	6.00001
NEW ENTRY OF BENCHMARK DATA OF GAUSS SEIDEL SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	500000	 | Solver Iters Block Size:	1
Residual:	0.00062984	 | Aver Time (ms):	0.00106907	 | Aver Iters:	6
Residual:	0.00062984	 | Aver Time (ms):	0.00107242	 | Aver Iters:	6.00001
Residual:	0.00062984	 | Aver Time (ms):	0.00107057	 | Aver Iters:	6.00001
Residual:	0.00011867	 | Aver Time (ms):	0.00123136	 | Aver Iters:	7.00001
Residual:	0.00011867	 | Aver Time (ms):	0.00123204	 | Aver Iters:	7.00001
Residual:	0.00011867	 | Aver Time (ms):	0.00123375	 | Aver Iters:	7.00001
Residual:	0.00011867	 | Aver Time (ms):	0.0012348	 | Aver Iters:	7.00001
