NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	128
Residual:	9.84835	 | Aver Time (ms):	169.431	 | Aver Iters:	16000
Residual:	8.72392	 | Aver Time (ms):	220.173	 | Aver Iters:	17440
Residual:	7.36206	 | Aver Time (ms):	235.514	 | Aver Iters:	18408
Residual:	6.06397	 | Aver Time (ms):	244.645	 | Aver Iters:	19480.4
Residual:	4.8751	 | Aver Time (ms):	254.698	 | Aver Iters:	20686
Residual:	3.64435	 | Aver Time (ms):	275.3	 | Aver Iters:	22282.3
Residual:	2.41326	 | Aver Time (ms):	298.544	 | Aver Iters:	24538.1
Residual:	1.13806	 | Aver Time (ms):	329.748	 | Aver Iters:	28618.9
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	256
Residual:	0.983969	 | Aver Time (ms):	301.043	 | Aver Iters:	28160
Residual:	0.850745	 | Aver Time (ms):	334.546	 | Aver Iters:	30336
Residual:	0.735559	 | Aver Time (ms):	405.934	 | Aver Iters:	31212.8
Residual:	0.605863	 | Aver Time (ms):	384.838	 | Aver Iters:	32280.6
Residual:	0.475413	 | Aver Time (ms):	403.245	 | Aver Iters:	33614
Residual:	0.355392	 | Aver Time (ms):	431.269	 | Aver Iters:	35216.7
Residual:	0.241114	 | Aver Time (ms):	467.666	 | Aver Iters:	37344.8
Residual:	0.110982	 | Aver Time (ms):	502.208	 | Aver Iters:	41547.2
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	512
Residual:	0.0959553	 | Aver Time (ms):	426.36	 | Aver Iters:	40448
Residual:	0.0870859	 | Aver Time (ms):	508.688	 | Aver Iters:	42982.4
Residual:	0.0717307	 | Aver Time (ms):	517.967	 | Aver Iters:	44133.1
Residual:	0.059083	 | Aver Time (ms):	543.903	 | Aver Iters:	45214.7
Residual:	0.0486653	 | Aver Time (ms):	573.502	 | Aver Iters:	46292.7
Residual:	0.0363794	 | Aver Time (ms):	560.202	 | Aver Iters:	47882.6
Residual:	0.022400	 | Aver Time (ms):	595.824	 | Aver Iters:	50522.1
Residual:	0.0113605	 | Aver Time (ms):	655.208	 | Aver Iters:	54238.1
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	1024
Residual:	0.00849249	 | Aver Time (ms):	559.585	 | Aver Iters:	53248
Residual:	0.00849249	 | Aver Time (ms):	659.948	 | Aver Iters:	55910.4
Residual:	0.00699508	 | Aver Time (ms):	693.662	 | Aver Iters:	57067.5
Residual:	0.00576169	 | Aver Time (ms):	688.07	 | Aver Iters:	58149.4
Residual:	0.00474578	 | Aver Time (ms):	700.364	 | Aver Iters:	59227.5
Residual:	0.00321975	 | Aver Time (ms):	756.949	 | Aver Iters:	61329.4
Residual:	0.00218442	 | Aver Time (ms):	757.72	 | Aver Iters:	63482.5
