NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	1000000	 | Solver Iters Block Size:	1
Residual:	10	 | Aver Time (ms):	0.000106784	 | Aver Iters:	0
Residual:	7.75011	 | Aver Time (ms):	0.000205518	 | Aver Iters:	1
Residual:	6.42087	 | Aver Time (ms):	0.000348929	 | Aver Iters:	2
Residual:	5.37436	 | Aver Time (ms):	0.000468149	 | Aver Iters:	3
Residual:	4.51744	 | Aver Time (ms):	0.000577899	 | Aver Iters:	4
Residual:	3.20496	 | Aver Time (ms):	0.000802918	 | Aver Iters:	6
Residual:	2.2777	 | Aver Time (ms):	0.00110367	 | Aver Iters:	8.00001
Residual:	1.1513	 | Aver Time (ms):	0.00156079	 | Aver Iters:	12
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	1000000	 | Solver Iters Block Size:	1
Residual:	0.970783	 | Aver Time (ms):	0.001611	 | Aver Iters:	13
Residual:	0.818573	 | Aver Time (ms):	0.00171807	 | Aver Iters:	14
Residual:	0.690228	 | Aver Time (ms):	0.00181549	 | Aver Iters:	15
Residual:	0.582006	 | Aver Time (ms):	0.00195003	 | Aver Iters:	16
Residual:	0.490753	 | Aver Time (ms):	0.00206821	 | Aver Iters:	17
Residual:	0.348926	 | Aver Time (ms):	0.00242769	 | Aver Iters:	19
Residual:	0.20919	 | Aver Time (ms):	0.00311828	 | Aver Iters:	22
Residual:	0.10575	 | Aver Time (ms):	0.0036472	 | Aver Iters:	26
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	1000000	 | Solver Iters Block Size:	1
Residual:	0.0891697	 | Aver Time (ms):	0.00322606	 | Aver Iters:	27
Residual:	0.0751887	 | Aver Time (ms):	0.00335816	 | Aver Iters:	28
Residual:	0.0633998	 | Aver Time (ms):	0.00354924	 | Aver Iters:	29
Residual:	0.0534593	 | Aver Time (ms):	0.00414834	 | Aver Iters:	30
Residual:	0.0450774	 | Aver Time (ms):	0.00425351	 | Aver Iters:	31
Residual:	0.0320501	 | Aver Time (ms):	0.00448756	 | Aver Iters:	33
Residual:	0.0227877	 | Aver Time (ms):	0.00471282	 | Aver Iters:	35
Residual:	0.0115197	 | Aver Time (ms):	0.00526047	 | Aver Iters:	39
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	500000	 | Solver Iters Block Size:	1
Residual:	0.00971354	 | Aver Time (ms):	0.00466295	 | Aver Iters:	40
Residual:	0.00819055	 | Aver Time (ms):	0.00476913	 | Aver Iters:	41.0001
Residual:	0.00690635	 | Aver Time (ms):	0.0049101	 | Aver Iters:	42.0001
Residual:	0.0058235	 | Aver Time (ms):	0.00583629	 | Aver Iters:	43.0001
Residual:	0.00491043	 | Aver Time (ms):	0.00616799	 | Aver Iters:	44.0001
Residual:	0.00349132	 | Aver Time (ms):	0.00637783	 | Aver Iters:	46.0001
Residual:	0.00209313	 | Aver Time (ms):	0.00662425	 | Aver Iters:	49.0001
Residual:	0.00105813	 | Aver Time (ms):	0.00710032	 | Aver Iters:	53.0001
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	500000	 | Solver Iters Block Size:	1
Residual:	0.000892223	 | Aver Time (ms):	0.00643033	 | Aver Iters:	54
Residual:	0.000752331	 | Aver Time (ms):	0.0065518	 | Aver Iters:	55.0001
Residual:	0.000634372	 | Aver Time (ms):	0.00726548	 | Aver Iters:	56.0001
Residual:	0.000534909	 | Aver Time (ms):	0.00791378	 | Aver Iters:	57.0001
Residual:	0.00045104	 | Aver Time (ms):	0.00796125	 | Aver Iters:	58.0001
Residual:	0.00032069	 | Aver Time (ms):	0.00815394	 | Aver Iters:	60.0001
