NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	128
Residual:	9.65952	 | Aver Time (ms):	101.828	 | Aver Iters:	8960
Residual:	8.35168	 | Aver Time (ms):	106.239	 | Aver Iters:	9792
Residual:	7.22091	 | Aver Time (ms):	110.55	 | Aver Iters:	10217.6
Residual:	5.94771	 | Aver Time (ms):	117.013	 | Aver Iters:	10750.9
Residual:	4.899	 | Aver Time (ms):	122.383	 | Aver Iters:	11289.5
Residual:	3.66222	 | Aver Time (ms):	131.45	 | Aver Iters:	12084.5
Residual:	2.36701	 | Aver Time (ms):	144.187	 | Aver Iters:	13276.2
Residual:	1.14364	 | Aver Time (ms):	167.14	 | Aver Iters:	15255.8
NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	128
Residual:	0.988802	 | Aver Time (ms):	170.793	 | Aver Iters:	14976
Residual:	0.854924	 | Aver Time (ms):	174.719	 | Aver Iters:	16108.8
Residual:	0.739173	 | Aver Time (ms):	189.065	 | Aver Iters:	16549.4
Residual:	0.608841	 | Aver Time (ms):	220.388	 | Aver Iters:	17083.5
Residual:	0.477750	 | Aver Time (ms):	225.97	 | Aver Iters:	17750.2
Residual:	0.357139	 | Aver Time (ms):	234.949	 | Aver Iters:	18551.5
Residual:	0.242300	 | Aver Time (ms):	248.111	 | Aver Iters:	19615.6
Residual:	0.111528	 | Aver Time (ms):	273.663	 | Aver Iters:	21716.8
NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	128
Residual:	0.0964279	 | Aver Time (ms):	246.041	 | Aver Iters:	21120
Residual:	0.0833722	 | Aver Time (ms):	251.659	 | Aver Iters:	22560
Residual:	0.0720841	 | Aver Time (ms):	286.649	 | Aver Iters:	23016
Residual:	0.0593741	 | Aver Time (ms):	302.257	 | Aver Iters:	23550.8
Residual:	0.0489052	 | Aver Time (ms):	307.238	 | Aver Iters:	24089.5
Residual:	0.0365588	 | Aver Time (ms):	316.11	 | Aver Iters:	24884.5
Residual:	0.0236291	 | Aver Time (ms):	330.932	 | Aver Iters:	26076.2
Residual:	0.0114166	 | Aver Time (ms):	356.431	 | Aver Iters:	28055.8
NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	256
Residual:	0.0098709	 | Aver Time (ms):	307.227	 | Aver Iters:	27136
Residual:	0.00813045	 | Aver Time (ms):	335.223	 | Aver Iters:	29004.8
Residual:	0.00737893	 | Aver Time (ms):	373.684	 | Aver Iters:	29354.2
Residual:	0.00607787	 | Aver Time (ms):	376.038	 | Aver Iters:	29883.7
Residual:	0.00454347	 | Aver Time (ms):	385.338	 | Aver Iters:	30678.2
Residual:	0.00339645	 | Aver Time (ms):	394.894	 | Aver Iters:	31485.9
Residual:	0.00230431	 | Aver Time (ms):	407.87	 | Aver Iters:	32550.3
Residual:	0.00106065	 | Aver Time (ms):	434.563	 | Aver Iters:	34651.5
NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	256
Residual:	0.00096261	 | Aver Time (ms):	377.291	 | Aver Iters:	33280
Residual:	0.000873633	 | Aver Time (ms):	379.954	 | Aver Iters:	35200
Residual:	0.000719593	 | Aver Time (ms):	450.272	 | Aver Iters:	35808
Residual:	0.000592714	 | Aver Time (ms):	457.261	 | Aver Iters:	36350.4
Residual:	0.000488205	 | Aver Time (ms):	462.002	 | Aver Iters:	36889.5
Residual:	0.000364955	 | Aver Time (ms):	471.567	 | Aver Iters:	37684.5
Residual:	0.000224716	 | Aver Time (ms):	488.699	 | Aver Iters:	39004.2
Residual:	0.000113969	 | Aver Time (ms):	509.838	 | Aver Iters:	40862.2
NEW ENTRY OF BENCHMARK DATA OF SEIDEL SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	20	 | Solver Iters Block Size:	256
