NEW ENTRY OF BENCHMARK DATA OF STEEPEST GRADIENT DESCENT SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	4	 | Aver Time (ms):	0.0043679	 | Aver Iters:	0
Residual:	4	 | Aver Time (ms):	0.00363543	 | Aver Iters:	0
Residual:	4	 | Aver Time (ms):	0.00353605	 | Aver Iters:	0
Residual:	4	 | Aver Time (ms):	0.00358157	 | Aver Iters:	0
Residual:	4	 | Aver Time (ms):	0.00366918	 | Aver Iters:	0
Residual:	3.32803	 | Aver Time (ms):	0.0156309	 | Aver Iters:	3
Residual:	2.41696	 | Aver Time (ms):	0.0951729	 | Aver Iters:	24.0006
Residual:	1.15632	 | Aver Time (ms):	0.331355	 | Aver Iters:	82.0048
NEW ENTRY OF BENCHMARK DATA OF STEEPEST GRADIENT DESCENT SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	0.999872	 | Aver Time (ms):	0.374788	 | Aver Iters:	95
Residual:	0.871175	 | Aver Time (ms):	0.422166	 | Aver Iters:	107.019
Residual:	0.747270	 | Aver Time (ms):	0.462105	 | Aver Iters:	120.021
Residual:	0.618113	 | Aver Time (ms):	0.539113	 | Aver Iters:	137.024
Residual:	0.491838	 | Aver Time (ms):	0.602183	 | Aver Iters:	157.027
Residual:	0.367956	 | Aver Time (ms):	0.729112	 | Aver Iters:	182.031
Residual:	0.242227	 | Aver Time (ms):	0.837864	 | Aver Iters:	219.036
Residual:	0.114752	 | Aver Time (ms):	1.134140	 | Aver Iters:	284.044
NEW ENTRY OF BENCHMARK DATA OF STEEPEST GRADIENT DESCENT SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	0.0993699	 | Aver Time (ms):	1.15618	 | Aver Iters:	297
Residual:	0.0872352	 | Aver Time (ms):	1.1944	 | Aver Iters:	308.059
Residual:	0.0743423	 | Aver Time (ms):	1.22093	 | Aver Iters:	322.062
Residual:	0.0619238	 | Aver Time (ms):	1.42313	 | Aver Iters:	338.064
Residual:	0.049276	 | Aver Time (ms):	1.47958	 | Aver Iters:	358.068
Residual:	0.0366139	 | Aver Time (ms):	1.6485	 | Aver Iters:	384.072
Residual:	0.0241032	 | Aver Time (ms):	1.75401	 | Aver Iters:	421.077
Residual:	0.0116028	 | Aver Time (ms):	2.0953	 | Aver Iters:	485.084
NEW ENTRY OF BENCHMARK DATA OF STEEPEST GRADIENT DESCENT SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
