NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	4	 | Aver Time (ms):	0.00396365	 | Aver Iters:	0
Residual:	4	 | Aver Time (ms):	0.0019095	 | Aver Iters:	0
Residual:	4	 | Aver Time (ms):	0.00187203	 | Aver Iters:	0
Residual:	4	 | Aver Time (ms):	0.0018795	 | Aver Iters:	0
Residual:	4	 | Aver Time (ms):	0.00191471	 | Aver Iters:	0
Residual:	3.4484	 | Aver Time (ms):	0.0118473	 | Aver Iters:	2
Residual:	2.36359	 | Aver Time (ms):	0.0213284	 | Aver Iters:	4.0004
Residual:	1.03719	 | Aver Time (ms):	0.0507663	 | Aver Iters:	10.0008
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	0.906423	 | Aver Time (ms):	0.0570317	 | Aver Iters:	11
Residual:	0.790976	 | Aver Time (ms):	0.0600092	 | Aver Iters:	12.0022
Residual:	0.685891	 | Aver Time (ms):	0.0644096	 | Aver Iters:	13.0024
Residual:	0.591640	 | Aver Time (ms):	0.0697936	 | Aver Iters:	14.0026
Residual:	0.432556	 | Aver Time (ms):	0.0789534	 | Aver Iters:	16.0028
Residual:	0.364801	 | Aver Time (ms):	0.0844731	 | Aver Iters:	17.0032
Residual:	0.202643	 | Aver Time (ms):	0.097976	 | Aver Iters:	20.0034
Residual:	0.100154	 | Aver Time (ms):	0.113308	 | Aver Iters:	23.004
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	160000	 | Solver Invokations Iters Block Size:	5000	 | Solver Iters Block Size:	1
Residual:	0.0782985	 | Aver Time (ms):	0.118782	 | Aver Iters:	24
Residual:	0.0782985	 | Aver Time (ms):	0.118371	 | Aver Iters:	24.0048
Residual:	0.060925	 | Aver Time (ms):	0.122010	 | Aver Iters:	25.0048
Residual:	0.060925	 | Aver Time (ms):	0.122871	 | Aver Iters:	25.005
Residual:	0.0470515	 | Aver Time (ms):	0.126829	 | Aver Iters:	26.005
Residual:	0.0361063	 | Aver Time (ms):	0.132649	 | Aver Iters:	27.0052
Residual:	0.0210049	 | Aver Time (ms):	0.140996	 | Aver Iters:	29.0054
Residual:	0.00926082	 | Aver Time (ms):	0.157533	 | Aver Iters:	32.0058
