NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	9.70368	 | Aver Time (ms):	5.91237	 | Aver Iters:	249
Residual:	8.5715	 | Aver Time (ms):	5.91401	 | Aver Iters:	257.98
Residual:	7.33924	 | Aver Time (ms):	6.13293	 | Aver Iters:	263.16
Residual:	6.09414	 | Aver Time (ms):	6.16633	 | Aver Iters:	269.263
Residual:	4.91281	 | Aver Time (ms):	6.43242	 | Aver Iters:	276.385
Residual:	3.59841	 | Aver Time (ms):	6.67242	 | Aver Iters:	286.528
Residual:	2.39236	 | Aver Time (ms):	7.00569	 | Aver Iters:	299.731
Residual:	1.13245	 | Aver Time (ms):	7.51859	 | Aver Iters:	323.995
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	0.969657	 | Aver Time (ms):	7.73133	 | Aver Iters:	323
Residual:	0.856341	 | Aver Time (ms):	7.77288	 | Aver Iters:	333.46
Residual:	0.732778	 | Aver Time (ms):	8.0532	 | Aver Iters:	338.669
Residual:	0.607780	 | Aver Time (ms):	8.05692	 | Aver Iters:	344.773
Residual:	0.488688	 | Aver Time (ms):	8.38583	 | Aver Iters:	351.895
Residual:	0.358095	 | Aver Time (ms):	8.60202	 | Aver Iters:	362.038
Residual:	0.238755	 | Aver Time (ms):	8.98167	 | Aver Iters:	375.241
Residual:	0.112818	 | Aver Time (ms):	9.49655	 | Aver Iters:	399.505
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	0.0995917	 | Aver Time (ms):	9.55406	 | Aver Iters:	396
Residual:	0.0852211	 | Aver Time (ms):	9.51077	 | Aver Iters:	408.92
Residual:	0.0729185	 | Aver Time (ms):	9.8355	 | Aver Iters:	414.178
Residual:	0.060488	 | Aver Time (ms):	9.80292	 | Aver Iters:	420.284
Residual:	0.0486236	 | Aver Time (ms):	10.1182	 | Aver Iters:	427.406
Residual:	0.0367284	 | Aver Time (ms):	10.2987	 | Aver Iters:	436.548
Residual:	0.0237406	 | Aver Time (ms):	10.6969	 | Aver Iters:	450.731
Residual:	0.0115851	 | Aver Time (ms):	11.1058	 | Aver Iters:	474.015
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	0.00991077	 | Aver Time (ms):	11.2046	 | Aver Iters:	470
Residual:	0.00847832	 | Aver Time (ms):	11.1784	 | Aver Iters:	484.4
Residual:	0.00725424	 | Aver Time (ms):	11.502	 | Aver Iters:	489.688
Residual:	0.00620645	 | Aver Time (ms):	11.4463	 | Aver Iters:	494.794
Residual:	0.00483622	 | Aver Time (ms):	11.8719	 | Aver Iters:	502.896
Residual:	0.00365263	 | Aver Time (ms):	12.0464	 | Aver Iters:	512.058
Residual:	0.00236017	 | Aver Time (ms):	12.4388	 | Aver Iters:	526.241
Residual:	0.00115208	 | Aver Time (ms):	12.9376	 | Aver Iters:	549.525
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	0.000985684	 | Aver Time (ms):	12.9662	 | Aver Iters:	544
Residual:	0.000870044	 | Aver Time (ms):	12.9324	 | Aver Iters:	558.88
Residual:	0.00074444	 | Aver Time (ms):	13.2924	 | Aver Iters:	564.178
Residual:	0.000617318	 | Aver Time (ms):	13.2159	 | Aver Iters:	570.284
Residual:	0.000481015	 | Aver Time (ms):	13.6619	 | Aver Iters:	578.406
Residual:	0.000363255	 | Aver Time (ms):	13.9449	 | Aver Iters:	587.568
Residual:	0.000242188	 | Aver Time (ms):	14.2689	 | Aver Iters:	600.751
Residual:	0.000114575	 | Aver Time (ms):	14.7815	 | Aver Iters:	625.015
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	9.80204e-05	 | Aver Time (ms):	15.5668	 | Aver Iters:	618
Residual:	8.65187e-05	 | Aver Time (ms):	15.1839	 | Aver Iters:	634.36
Residual:	7.40383e-05	 | Aver Time (ms):	15.682	 | Aver Iters:	639.687
Residual:	6.13947e-05	 | Aver Time (ms):	15.565	 | Aver Iters:	645.794
Residual:	4.93508e-05	 | Aver Time (ms):	15.9698	 | Aver Iters:	652.916
Residual:	3.61268e-05	 | Aver Time (ms):	16.1099	 | Aver Iters:	663.058
Residual:	2.40861e-05	 | Aver Time (ms):	16.61	 | Aver Iters:	676.261
Residual:	1.13932e-05	 | Aver Time (ms):	18.3619	 | Aver Iters:	700.525
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	9.74755e-06	 | Aver Time (ms):	17.1181	 | Aver Iters:	692
Residual:	8.60427e-06	 | Aver Time (ms):	17.0367	 | Aver Iters:	709.84
Residual:	7.36172e-06	 | Aver Time (ms):	17.4564	 | Aver Iters:	715.197
Residual:	6.10534e-06	 | Aver Time (ms):	19.7754	 | Aver Iters:	721.304
Residual:	4.90812e-06	 | Aver Time (ms):	23.5805	 | Aver Iters:	728.426
Residual:	3.5929e-06	 | Aver Time (ms):	25.0885	 | Aver Iters:	738.569
Residual:	2.39506e-06	 | Aver Time (ms):	25.6323	 | Aver Iters:	751.771
Residual:	1.13283e-06	 | Aver Time (ms):	26.3188	 | Aver Iters:	776.035
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	9.69348e-07	 | Aver Time (ms):	18.2201	 | Aver Iters:	766
Residual:	8.5567e-07	 | Aver Time (ms):	18.0678	 | Aver Iters:	785.32
Residual:	7.32023e-07	 | Aver Time (ms):	18.5696	 | Aver Iters:	790.706
Residual:	6.07209e-07	 | Aver Time (ms):	18.3501	 | Aver Iters:	796.814
Residual:	4.88076e-07	 | Aver Time (ms):	18.8481	 | Aver Iters:	803.936
Residual:	3.6851e-07	 | Aver Time (ms):	19.1018	 | Aver Iters:	813.079
Residual:	2.38163e-07	 | Aver Time (ms):	20.6162	 | Aver Iters:	827.262
Residual:	1.12768e-07	 | Aver Time (ms):	20.496	 | Aver Iters:	851.545
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	9.9522e-08	 | Aver Time (ms):	20.5514	 | Aver Iters:	839
Residual:	8.50365e-08	 | Aver Time (ms):	20.5357	 | Aver Iters:	860.78
Residual:	7.26931e-08	 | Aver Time (ms):	21.1024	 | Aver Iters:	866.216
Residual:	6.0432e-08	 | Aver Time (ms):	20.8059	 | Aver Iters:	872.324
Residual:	4.85681e-08	 | Aver Time (ms):	26.7027	 | Aver Iters:	879.446
Residual:	3.67227e-08	 | Aver Time (ms):	29.1228	 | Aver Iters:	888.589
Residual:	2.38973e-08	 | Aver Time (ms):	30.2969	 | Aver Iters:	902.772
Residual:	1.14595e-08	 | Aver Time (ms):	30.0634	 | Aver Iters:	927.055
NEW ENTRY OF BENCHMARK DATA OF SUCCESSIVE OVER RELAXATION SOLVER
Matrix Size:	1172889	 | Solver Invokations Iters Block Size:	50	 | Solver Iters Block Size:	1
Residual:	9.69729e-09	 | Aver Time (ms):	22.76	 | Aver Iters:	914
Residual:	8.64414e-09	 | Aver Time (ms):	22.581	 | Aver Iters:	936.28
Residual:	7.46478e-09	 | Aver Time (ms):	22.9219	 | Aver Iters:	941.726
Residual:	6.06212e-09	 | Aver Time (ms):	24.2494	 | Aver Iters:	948.835
Residual:	4.93185e-09	 | Aver Time (ms):	31.6588	 | Aver Iters:	956.977
Residual:	3.60181e-09	 | Aver Time (ms):	32.7959	 | Aver Iters:	968.14
Residual:	2.41725e-09	 | Aver Time (ms):	33.296	 | Aver Iters:	987.363
Residual:	1.15823e-09	 | Aver Time (ms):	40.6269	 | Aver Iters:	1076.75
